item_id,"event (place, date, venue)",article title,outlet,article date,sentence before,SENTENCE TO LABEL,sentence after,url,label,about this event?,notes
L011,"Kediri, 2026-07-23 - TK Kusuma Mulya Krandang; MI Barokah; SDN Purwodadi 1; SDN Krandang 2; SMPN 1 Kras; nonsekolah kategori 3B",201 Siswa dari 3 Sekolah Kediri Mual hingga Diare Diduga Usai Makan MBG,detik.com,2026-07-28,Ratusan siswa dari 3 sekolah di Kediri mengeluhkan gangguan kesehatan diduga usai menyantap makanan Program Makan Bergizi Gratis (MBG).,Dinas Kesehatan (Dinkes) Kabupaten Kediri sedang di lapangan untuk mengumpulkan data dan memastikan penyebab kejadian tersebut hingga.,Kepala Dinas Kesehatan Kediri Achmad Khatib mengatakan pihaknya baru menerima laporan pada Senin siang.,https://www.detik.com/jatim/berita/d-8594122/201-siswa-dari-3-sekolah-kediri-mual-hingga-diare-diduga-usai-makan-mbg,,,
L012,"Ogan Komering Ilir, 2025-09-02 - SD Negeri 1 Pedamaran; SD Negeri 5 Pedamaran; SMP Negeri 1 Pedamaran",Hasil Laboratorium BTKL Sebut Keracunan MBG di OKI karena Bakteri E Coli,detik.com,2025-09-17,"""Info dari Dinkes OKI sumber air untuk masak dari air minum isi ulang, sedangkan untuk cuci-cuci beli pakai mobil tangki,"" ungkapnya.","Sebelumnya diberitakan, Dinkes Sumsel menerima hasil pemeriksaan yang dilakukan BPOM Palembang pada kasus keracunan makan bergizi gratis (MBG) di Ogan Komering Ilir (OKI).",Ada 2 item menu yang tidak memenuhi syarat dari hasil uji laboratorium.,https://www.detik.com/sumbagsel/berita/d-8115988/hasil-laboratorium-btkl-sebut-keracunan-mbg-di-oki-karena-bakteri-e-coli,,,
L013,"Garut, 2025-09-17 - SDN 2 Mandalasari; SMP Siti Aisyah; MA (Madrasah Aliyah) Siti Aisyah; MA Maarif Cilageni; SMA Siti Aisyah","Korban Keracunan MBG di Garut Capai 657 Siswa, Bupati Janji Evaluasi Menyeluruh - Pikiran Rakyat Koran",koran.pikiran-rakyat.com,2025-09-20,"Saat ini, pihak kepolisian masih menunggu tim Reskrim Polres Tasikmalaya untuk melakukan penyelidikan lebih lanjut.",Penyelidikan ini bertujuan untuk menentukan sumber pasti penyebab keracunan dari program makanan MBG.,"Sementara itu, Wakil Bupati Tasikmalaya, Asep Sopari Al Ayubi, angkat bicara menyikapi kasus keracunan yang menimpa sejumlah siswa SD dan PAUD di Kecamatan Cikalong Kabupaten Tasikmalaya.",https://koran.pikiran-rakyat.com/news/pr-3039659563/korban-keracunan-mbg-di-garut-capai-657-siswa-bupati-janji-evaluasi-menyeluruh,,,
L014,"Semarang, 2026-07-31 - SMKN 6 Semarang",Menkes ungkap temuan bakteri pada kasus keracunan MBG Papua & Semarang,antaranews.com,2026-08-06,,"Laporannya sudah ada, hasil labnya juga sudah ada, jadi memang kita identifikasi ada beberapa makanan yang ada bakteri E. coli-nya, bukan hanya semangka tapi ada beberapa makanan lain",Jakarta (ANTARA) - Menteri Kesehatan (Menkes) Budi Gunadi Sadikin mengatakan pihaknya menindaklanjuti temuan bakteri E. coli dalam kasus keracunan pada Program Makan Bergizi Gratis (MBG) di Papua dan Semarang (Jawa Tengah) dengan memberikan masukan kepada Badan Gizi Nasional (BGN).,https://www.antaranews.com/berita/5681913/menkes-ungkap-temuan-bakteri-pada-kasus-keracunan-mbg-papua-semarang,,,
L015,"Agam, 2026-09-02 - SD (Spesifik tidak disebutkan); SMP Negeri 1 Palupuh","Menu MBG Penyebab Keracunan di Agam Mengandung Bakteri, Ahli: Bukti Kegagalan Sistematis Keamanan Pangan",regional.kompas.com,2026-09-11,"Pasca mengkonsumsi menu tersebut, para korban yang terdiri dari balita, ibu hamil, siswa hingga guru mengalami gejala diare, pusing, mual dan muntah.","Defriman menjelaskan, keracunan massal yang disebabkan oleh bakteri seperti Bacillus cereus atau Staphylococcus aureus terjadi melalui mekanisme preformed toxin, yakni racun yang sudah terbentuk lebih dulu di dalam makanan.","""Inilah sebabnya masa inkubasi sangat pendek, yaitu berkisar 1 hingga 6 jam, dan pemanasan ulang tidak lagi melindungi,"" ujar Defriman kepada Kompas.com.",https://regional.kompas.com/read/2026/09/11/185930778/menu-mbg-penyebab-keracunan-di-agam-mengandung-bakteri-ahli-bukti-kegagalan,,,
L016,"Kudus, 2026-01-29 - SMAN 2 Kudus",Dinkes: Hasil lab tunjukkan MBG SPPG di Kudus terkontaminasi E.Coli,antaranews.com,2026-02-09,"Kudus (ANTARA) - Kepala Dinas Kesehatan (Dinkes) Kabupaten Kudus, Jawa Tengah, Abdul Hakam mengatakan sampel makanan yang disajikan Satuan Pelayanan Pemenuhan Gizi (SPPG) Purwosari 01 yang dikirim ke Balai Laboratorium Kesehatan (BLK) Semarang terkontaminasi bakteri Escherichia Coli (E.Coli).","""Dalam pengujian sampel makanan di BLK Semarang terdapat dua jenis pemeriksaan, yakni bakteriologis dan kimia,"" ucap Abdul Hakam di Kudus, Senin.","Pemeriksaan bakteriologis, kata dia, untuk mengidentifikasi bakteri dan dampaknya terhadap kesehatan.",https://www.antaranews.com/berita/5406526/dinkes-hasil-lab-tunjukkan-mbg-sppg-di-kudus-terkontaminasi-ecoli,,,
L017,"Bandar Lampung, 2026-04-22 - SMAN 6 Bandar Lampung","Ratusan Siswa SMAN 6 Diduga Keracunan MBG, Dapur Way Lunik Disetop Sementara",kupastuntas.co,2026-04-24,"Ini sudah kami surati untuk segera diperbaiki,” tegasnya.","Meski demikian, hasil uji sampel air dan usap peralatan dari dapur tersebut dinyatakan memenuhi syarat kesehatan.","Sebagai langkah antisipasi, tim kesehatan juga telah melakukan pemantauan terhadap siswa dan guru yang terdampak, meski tidak ada yang sampai menjalani rawat inap.",https://kupastuntas.co/2026/04/24/ratusan-siswa-sman-6-diduga-keracunan-mbg-dapur-way-lunik-disetop-sementara,,,
L018,"Klaten, 2026-04-28 - SMPN 1 Tulung","SPPG Klaten Disetop Usai Ratusan Siswa Keracunan MBG, Air Positif Bakteri E Coli",regional.kompas.com,2026-05-10,"Menurut Yoga, hasil pemeriksaan laboratorium menunjukkan sampel air yang digunakan di SPPG positif mengandung bakteri Escherichia coli atau E coli.","“Dikarenakan hasil lab pasca keracunan terdapat hasil positif bakteri E coli maka perlu evaluasi pengecekan sampel air yang digunakan SPPG, pembenahan bangunan infrastruktur SPPG, dan evaluasi relawan SPPG,” kata Yoga.","Ia menegaskan selama masa suspend, pihak mitra pengelola SPPG tidak akan menerima insentif dari BGN.",https://regional.kompas.com/read/2026/05/10/172157778/sppg-klaten-disetop-usai-ratusan-siswa-keracunan-mbg-air-positif-bakteri-e,,,
L019,"Pati, 2026-02-09 - SMKN 4 Pati","Uji Lab Temukan Bakteri di Menu MBG SMKN 4 Pati, SPPG Margorejo Dihentikan Sementara",regional.kompas.com,2026-03-04,,"PATI, KOMPAS.com – Hasil uji laboratorium terhadap sampel Makan Bergizi Gratis (MBG) yang dikonsumsi siswa SMKN 4 Pati menunjukkan adanya kandungan bakteri pada sejumlah menu.",Temuan tersebut memicu penghentian sementara operasional Satuan Pelayanan Pemenuhan Gizi (SPPG) Pati Margorejo sembari menunggu proses evaluasi dan perbaikan.,https://regional.kompas.com/read/2026/03/04/164410478/uji-lab-temukan-bakteri-di-menu-mbg-smkn-4-pati-sppg-margorejo-dihentikan,,,
L020,"Agam, 2026-09-02 - SD (Spesifik tidak disebutkan); SMP Negeri 1 Palupuh","Kasus Keracunan MBG Terulang, Pemkab Agam Perketat Pengawasan Dapur SPPG",regional.kompas.com,2026-09-10,"Sepekan setelah kejadian, Balai Besar Pengawas Obat dan Makanan (BPOM) menemukan kontaminasi bakteri Bacillus cereus pada sampel tahu dan cabai menu MBG yang dikonsumsi korban.",Bakteri tersebut ditemukan setelah BPOM melakukan uji sampel menu makanan MBG dan muntah dari para korban.,Keracunan massal akibat MBG bukan kali pertama terjadi di Kabupaten Agam.,https://regional.kompas.com/read/2026/09/10/202940978/kasus-keracunan-mbg-terulang-pemkab-agam-perketat-pengawasan-dapur-sppg,,,
L021,"Cianjur, 2025-04-21 - MAN 1 Cianjur",Dinkes Periksa Dapur MBG di Cianjur Usai Puluhan Siswa Keracunan Makanan,kompas.com,2025-04-22,"Frida menegaskan, pihaknya masih menunggu hasil dari laboratorium.","“Nanti, setelah hasil pemeriksaan keluar, akan terlihat apakah makanan tersebut mengandung bakteri atau jamur, dan jenisnya apa, termasuk jika ada kandungan bahan pengawet, atau bahan-bahan yang sudah kedaluwarsa,” katanya.","“Atau bisa jadi hasilnya tidak ditemukan, dan ternyata berasal dari sumber lain,” tambahnya.",https://www.kompas.com/jawa-barat/read/2025/04/22/130503388/dinkes-periksa-dapur-mbg-di-cianjur-usai-puluhan-siswa-keracunan,,,
L022,"Bengkulu Utara, 2026-02-26",BGN pastikan kematian siswa di Bengkulu Utara tak terkait MBG,antaranews.com,2026-03-03,Jakarta (ANTARA) - Wakil Kepala Badan Gizi Nasional (BGN) Bidang Komunikasi Publik dan Investigasi Nanik Sudaryati Deyang memastikan meninggalnya seorang siswa Madrasah Ibtidaiyah Negeri (MIN) 2 Bengkulu Utara bernama Fatih tidak berkaitan dengan konsumsi menu Program Makan Bergizi Gratis (MBG) yang didistribusikan ole,"Hal tersebut disampaikan Nanik setelah hasil uji laboratorium yang dilakukan oleh Badan Pengawas Obat dan Makanan (BPOM) menunjukkan tidak ditemukan bakteri E. coli maupun indikasi cemaran lain seperti boraks, formalin, nitrit, arsen, sianida, ataupun temuan lain pada sampel makanan Program MBG yang diperiksa.","""Informasi yang beredar dan mengaitkan kematian korban dengan dugaan keracunan MBG tidak sesuai dengan fakta di lapangan.",https://www.antaranews.com/berita/5450563/bgn-pastikan-kematian-siswa-di-bengkulu-utara-tak-terkait-mbg,,,
L023,"Bandung, 2025-04-29 - SMP Negeri 35 Bandung",Dinkes Ungkap Penyebab Keracunan Massal di SMPN 35 Bandung,detik.com,2025-05-22,Penyebab keracunan massal yang menimpa ratusan siswa SMP Negeri 35 Bandung beberapa waktu lalu akhirnya terungkap.,Hasil uji laboratorium menunjukkan jika menu Makanan Bergizi Gratis (MBG) yang dikonsumsi para siswa mengandung bakteri berbahaya.,"Kepala Dinas Kesehatan Kota Bandung, Anhar Hadian mengatakan, dari lima sampel makanan yang dikirim ke Laboratorium Kesehatan Daerah (Labkesda) Jawa Barat, dua di antaranya yakni melon potong dan mixed vegetable terdeteksi mengandung bakteri Bacillus dan jamur Candida.",https://www.detik.com/jabar/berita/d-7926302/dinkes-ungkap-penyebab-keracunan-massal-di-smpn-35-bandung,,,
L024,"Karimun, 2025-09-25 - SMPN 2 Karimun",Dinkes uji lab sampel MBG yang diduga picu keracunan siswa di Karimun,antaranews.com,2025-09-26,"Hingga Kamis sore, semua siswa sudah dipulangkan setelah dapat perawatan medis,"" ujar Bisri.",Ia menduga keracunan siswa di Karimun itu bisa saja dipicu cemaran bakteri atau zat kimiawi tertentu pada bahan MBG atau mungkin akibat metode pengolahan sampai penyajian makanan yang kurang bersih dan sehat.,"Menurutnya, keracunan MBG tidak harus dialami semua siswa, karena tergantung reaksi tubuh masing-masing, misalnya ada yang alergi makanan tertentu sehingga menimbulkan keracunan.",https://www.antaranews.com/berita/5135397/dinkes-uji-lab-sampel-mbg-yang-diduga-picu-keracunan-siswa-di-karimun,,,
L025,"Pati, 2026-02-09 - SMKN 4 Pati","Kasus Keracunan MBG di Pati: SPPG Belum Operasi hingga Hasil Lab Keluar, Guru Diminta Ikut Awasi Makanan",regional.kompas.com,2026-02-14,Para siswa mendadak mengeluhkan pusing dan mual setelah menyantap makan siang gratis.,"Saat ini, dapur SPPG MBG di Desa Muktiharjo masih berstatus non-aktif hingga hasil uji laboratorium dinyatakan aman untuk dikonsumsi kembali.",Bayangkan seorang anak Indonesia bercita-cita menjadi dokter tetapi hanya memiliki satu buku lusuh untuk belajar.,https://regional.kompas.com/read/2026/02/14/154556978/kasus-keracunan-mbg-di-pati-sppg-belum-operasi-hingga-hasil-lab-keluar-guru,,,
L026,"Demak, 2026-04-18 - Ponpes Bustanul Qur'an; Ponpes Asnawiyah; Ponpes Hidayatul Mubdtadiin; Ponpes Al Ma'arif; Ponpes Nurul Sakinah","Buntut Keracunan MBG di Demak, Wagub Jateng Minta Distribusi dan Konsumsi MBG Tepat Waktu",regional.kompas.com,2026-04-21,"Sebagai langkah tindak lanjut, operasional SPPG yang bersangkutan telah dihentikan sementara dan dipasangi garis polisi.",Dinas Kesehatan setempat kini tengah melakukan uji laboratorium untuk memastikan penyebab pasti keracunan sekaligus melakukan evaluasi sistem distribusi secara menyeluruh agar kejadian serupa tidak terulang kembali.,Bayangkan seorang anak Indonesia bercita-cita menjadi dokter tetapi hanya memiliki satu buku lusuh untuk belajar.,https://regional.kompas.com/read/2026/04/21/211235978/buntut-keracunan-mbg-di-demak-wagub-jateng-minta-distribusi-dan-konsumsi,,,
L027,"Kebumen, 2025-09-25 - SDN Tegalretno; Madrasah Wathoniyah Islamiyah",26 Siswa di Kebumen Diduga Keracunan MBG Dipulangkan dari RS,detik.com,2025-09-27,Adapun sampel sisa makanan juga telah dibawa ke laboratorium di Yogyakarta untuk diteliti lebih lanjut.,"""Ini sedang pemeriksaan bakterial, sampel sisa makanan juga sudah dibawa ke Yogyakarta, ke Laboratorium Kesehatan,"" pungkasnya.",(ams/apu),https://www.detik.com/jateng/berita/d-8133239/26-siswa-di-kebumen-diduga-keracunan-mbg-dipulangkan-dari-rs,,,
L028,"Bandung Barat, 2025-09-22 - SD Negeri Cipari; MTs Darul Fiqri; SMK Pembangunan Bandung Barat; TK Nurul Saadah; SMP Ciparai; SMK Karya Perj","Mengenal Senyawa Nitrit, Pemicu Keracunan MBG di Bandung Barat",health.detik.com,2025-10-05,"Meski jarang disangka, buah berair juga bisa jadi media tumbuh bakteri pengubah nitrat menjadi nitrit, terutama bila sudah dikupas, dipotong, lalu dibiarkan terbuka terlalu lama.","Hal inilah yang juga ditemukan pada kasus Bandung Barat, di mana sisa buah melon mengandung nitrit tinggi.",4.,https://health.detik.com/diet/d-8145435/mengenal-senyawa-nitrit-pemicu-keracunan-mbg-di-bandung-barat,,,
L029,"Surabaya, 2026-05-11 - TK Ubaid; TK Aletheia; SD Tembok Dukuh 1; SD Tembok Dukuh 3; SDN Tembok Dukuh 4; SD Aletheia; SD Pancasila 45;",Dinkes Surabaya Ungkap Dugaan Penyebab Keracunan MBG: Dapur Kotor- SLHS Belum Dikantongi,surabaya.kompas.com,2026-05-14,“Jadi dari beku menjadi layak di untuk dipotong.,"Nah itu, itu dugaan kita, di situlah terkontaminasi,” ungkapnya.","Selain itu, ia juga menemukan dapur yang tidak memakai perangkap serangga di area pengelolaan bahan-bahan mentah sehingga rawan serangga seperti lalat dapat masuk dan menghinggapi makanan.",https://surabaya.kompas.com/read/2026/05/14/182004878/dinkes-surabaya-ungkap-dugaan-penyebab-keracunan-mbg-dapur-kotor-slhs-belum,,,
L030,"Bogor, 2025-09-26 - SMPN 1 Jonggol","2 Kasus Keracunan MBG di Kabupaten Bogor, Dinkes Temukan Kontaminasi Salmonella dan E Coli",bandung.kompas.com,2025-10-19,"Sebanyak tujuh siswa mengalami gejala mual, muntah, dan diare setelah mengonsumsi makanan MBG di sekolah tersebut.","""Dari hasil pemeriksaan laboratorium yang keluar pada 2 Oktober 2025, ditemukan Salmonella sp pada telur ceplok serta E. coli dan coliform pada makanan lain yang diperiksa,"" kata Fusia dalam keterangannya, Sabtu (19/10/2025).","Kasus serupa kembali terjadi pada awal Oktober 2025 di SDN Pasir Angin 2 dan SDN Gadog 1, Kecamatan Megamendung, Puncak Bogor.",https://bandung.kompas.com/read/2025/10/19/214857278/2-kasus-keracunan-mbg-di-kabupaten-bogor-dinkes-temukan-kontaminasi,,,
L031,"Kulon Progo, 2025-07-31 - SMPN 2 Wates; SMP Muhammadiyah 2 Wates; SD Triharjo; SD Sogan","497 Siswa Kulon Progo Keracunan, 3 Jenis Bakteri Berbahaya Ditemukan di Menu MBG",yogyakarta.kompas.com,2025-08-20,Hasil uji laboratorium resmi menunjukkan sampel makanan yang dikonsumsi siswa terkontaminasi oleh tiga jenis bakteri berbahaya.,"Hasil uji laboratorium dari Balai Laboratorium Kesehatan dan Kalibrasi (BLKK) Yogyakarta menunjukkan bahwa sampel makanan dari satu Satuan Pelayanan Pemenuhan Gizi (SPPG) — penyedia makanan MBG — telah terkontaminasi oleh tiga jenis bakteri, yakni:","""Semua bakteri itu seharusnya tidak ada dalam makanan,"" ujar Arif Mustofa, Kepala Bidang Pencegahan dan Pengendalian Penyakit (P2P) Dinas Kesehatan Kulon Progo, Rabu (20/8/2025).",https://yogyakarta.kompas.com/read/2025/08/20/164930478/497-siswa-kulon-progo-keracunan-3-jenis-bakteri-berbahaya-ditemukan-di,,,
L032,"Gunungkidul, 2025-09-03 - MTsN Wonosari","5 Anak Mual-Muntah Usai Santap MBG di Gunungkidul, Dinkes: Diduga Keracunan Makanan",detik.com,2025-09-04,"""Kita sudah ambil sampel baik dari makanan, muntahan dan air di SPPG.","Sampel itu juga sudah kita uji lab dan hasilnya keluar 14 hari, semua itu untuk memastikan penyebabnya dari bakteri atau bahan kimia,"" ujarnya.","Terkait apa yang dialami kelima murid itu, Ismono menyebut kebanyakan mual dan muntah.",https://www.detik.com/jogja/berita/d-8096710/5-anak-mual-muntah-usai-santap-mbg-di-gunungkidul-dinkes-diduga-keracunan-makanan,,,
L033,"Surabaya, 2026-05-11 - TK Ubaid; TK Aletheia; SD Tembok Dukuh 1; SD Tembok Dukuh 3; SDN Tembok Dukuh 4; SD Aletheia; SD Pancasila 45;",SPPG Tembok Dukuh Surabaya Ditutup Sementara Imbas 200 Siswa Keracunan MBG,surabaya.kompas.com,2026-05-11,"Saat ini, kata Chafi, SPPG yang beroperasi sejak 2 Februari 2026 tersebut ditutup sementara.",Pihaknya masih menunggu hasil uji laboratorium dari sampel menu MBG yang disalurkannya.,“Saat saya menerima informasi bahwa ada sekolah yang keracunan langsung saya setop (distribusi).,https://surabaya.kompas.com/read/2026/05/11/225411378/sppg-tembok-dukuh-surabaya-ditutup-sementara-imbas-200-siswa-keracunan-mbg,,,
L034,"Tana Toraja, 2026-09-02 - SMP Negeri 1 Makale; SMP Negeri 2 Makale","Keracunan Massal MBG Toraja, Ayam Bumbu Kuning Positif Bakteri",cnnindonesia.com,2026-09-11,"Hasil pengujian pada nasi putih, tempe mendoan, sayur tumis jagung, wortel dan labu siam, serta ikan nila dinyatakan negatif untuk parameter E. coli, Staphylococcus aureus, Salmonella, methanil yellow, sianida, dan nitrit.","Sementara pada sampel irisan melon, hasil pemeriksaan mikrobiologi juga negatif untuk E. coli, Staphylococcus aureus, dan Salmonella.",Sedangkan pemeriksaan kimia menunjukkan adanya nitrit dalam kadar kecil.,https://www.cnnindonesia.com/nasional/20260911180218-20-1402945/keracunan-massal-mbg-toraja-ayam-bumbu-kuning-positif-bakteri,,,
L035,"Palangka Raya, 2025-09-29 - SDN 3 Bukit Tunggal",Pemkot Palangka Raya Percepat Sertifikat Higiene Dapur MBG usai Instruksi Mendagri,regional.kompas.com,2025-09-29,"“Tapi ada tiga langkah sebelum SLHS bisa diterbitkan, seperti pelatihan penjamah makanan, inspeksi kesehatan lingkungan oleh Dinas Kesehatan, dan pengambilan sampel makanan untuk diuji laboratorium,” kata Zaini, Senin (29/9/2025).","Ia menambahkan, pengambilan sampel makanan membutuhkan waktu lebih lama karena harus memastikan ada tidaknya virus, bakteri, atau kuman yang berpotensi membuat makanan tidak sesuai standar.","Sejauh ini, pelatihan penjamah makanan telah dilakukan untuk 15 dapur SPPG dengan sekitar 700 orang peserta.",https://regional.kompas.com/read/2025/09/29/123007978/pemkot-palangka-raya-percepat-sertifikat-higiene-dapur-mbg-usai-instruksi,,,
